for 0.6
Front Nose down 
A:   0.5  41.6 | G:    0.2    1.5    0.5 | P:  -0.7 -50.9  -1.0 | M: 1050 1150 1150 1050 | V: 11911 | T: 690 us
A:   0.3  41.5 | G:   -0.4    0.7   -0.4 | P:  -0.1 -50.2   0.9 | M: 1050 1150 1150 1050 | V: 11911 | T: 690 us
A:   0.5  41.5 | G:    0.1    0.7   -0.0 | P:  -0.6 -50.3   0.0 | M: 1050 1150 1150 1050 | V: 11915 | T: 690 us
A:   0.3  41.5 | G:    0.1    1.7   -0.2 | P:  -0.4 -50.8   0.4 | M: 1050 1150 1150 1050 | V: 11911 | T: 690 us
A:   0.5  41.1 | G:    0.1    0.0    0.2 | P:  -0.7 -49.3  -0.5 | M: 1051 1149 1149 1051 | V: 11911 | T: 690 us
A:   0.5  41.1 | G:   -0.1   -1.0   -0.1 | P:  -0.5 -48.7   0.1 | M: 1052 1148 1148 1052 | V: 11915 | T: 690 us
A:   0.3  40.7 | G:   -0.6   -1.4   -0.6 | P:   0.0 -48.1   1.2 | M: 1053 1147 1149 1051 | V: 11911 | T: 690 us
A:   0.3  41.5 | G:   -0.7    1.6   -0.5 | P:  -0.0 -50.8   1.0 | M: 1050 1150 1150 1050 | V: 11911 | T: 690 us
A:   0.5  41.3 | G:    0.2    1.3    0.3 | P:  -0.8 -50.4  -0.6 | M: 1050 1150 1150 1050 | V: 11915 | T: 690 us
A:   0.5  41.0 | G:    0.2    1.3    0.1 | P:  -0.7 -50.1  -0.2 | M: 1050 1150 1150 1050 | V: 11911 | T: 690 us
A:   0.4  40.6 | G:   -0.4   -0.6   -0.3 | P:  -0.3 -48.4   0.5 | M: 1052 1148 1148 1052 | V: 11911 | T: 690 us
A:   0.5  41.0 | G:    0.1    1.4    0.1 | P:  -0.7 -50.1  -0.1 | M: 1050 1150 1150 1050 | V: 11907 | T: 690 us
A:   0.5  41.0 | G:    0.2    1.3    0.1 | P:  -0.7 -50.0  -0.1 | M: 1050 1150 1150 1050 | V: 11911 | T: 690 us
A:   0.3  40.7 | G:   -0.4    0.7   -0.4 | P:  -0.1 -49.3   0.9 | M: 1051 1149 1149 1051 | V: 11907 | T: 690 us
A:   0.5  40.6 | G:   -0.3   -1.9   -0.3 | P:  -0.4 -47.6   0.5 | M: 1053 1147 1147 1053 | V: 11907 | T: 690 us
A:   0.5  40.8 | G:    0.3   -0.2    0.2 | P:  -0.8 -48.9  -0.5 | M: 1052 1148 1148 1052 | V: 11907 | T: 690 us
A:   0.5  40.7 | G:   -0.0   -0.7    0.1 | P:  -0.6 -48.4  -0.1 | M: 1052 1148 1148 1052 | V: 11911 | T: 690 us
A:   0.4  40.7 | G:   -0.2    0.1   -0.2 | P:  -0.4 -48.8   0.4 | M: 1052 1148 1148 1052 | V: 11907 | T: 689 us
A:   0.5  40.7 | G:    0.4   -0.2    0.5 | P:  -0.8 -48.7  -1.0 | M: 1052 1148 1148 1052 | V: 11911 | T: 690 us
A:   0.5  40.8 | G:    0.4    0.3    0.4 | P:  -0.8 -49.2  -0.8 | M: 1051 1149 1149 1051 | V: 11911 | T: 690 us
A:   0.3  40.8 | G:   -0.6    0.4   -0.4 | P:  -0.0 -49.2   0.9 | M: 1051 1149 1149 1051 | V: 11911 | T: 690 us
A:   0.5  40.9 | G:   -0.1    1.6   -0.1 | P:  -0.5 -50.0   0.3 | M: 1051 1149 1149 1051 | V: 11907 | T: 689 us
A:   0.6  40.9 | G:    0.7    3.5    0.7 | P:  -1.2 -51.2  -1.3 | M: 1049 1153 1149 1049 | V: 11907 | T: 690 us
A:   0.4  40.0 | G:   -0.1    0.7   -0.3 | P:  -0.4 -48.4   0.5 | M: 1052 1148 1148 1052 | V: 11911 | T: 690 us
A:   0.4  39.9 | G:    0.1   -1.6   -0.1 | P:  -0.5 -46.9   0.3 | M: 1054 1146 1146 1054 | V: 11899 | T: 690 us
A:   0.6  40.2 | G:    0.6   -1.0    0.4 | P:  -1.1 -47.6  -0.8 | M: 1054 1148 1146 1052 | V: 11907 | T: 690 us
A:   0.6  40.2 | G:    0.6   -0.7    0.4 | P:  -1.0 -47.8  -0.7 | M: 1054 1148 1146 1052 | V: 11907 | T: 690 us
A:   0.4  40.2 | G:   -0.1   -0.8   -0.4 | P:  -0.4 -47.8   0.8 | M: 1053 1147 1147 1053 | V: 11907 | T: 690 us
A:   0.5  40.9 | G:   -0.1    1.7   -0.1 | P:  -0.5 -50.1   0.1 | M: 1050 1150 1150 1050 | V: 11907 | T: 690 us
A:   0.4  41.5 | G:    0.1    8.0   -0.0 | P:  -0.5 -54.6   0.0 | M: 1046 1154 1154 1046 | V: 11911 | T: 690 us
A:   0.3  41.7 | G:   -0.2   14.3    0.2 | P:  -0.2 -58.7  -0.3 | M: 1042 1158 1158 1042 | V: 11907 | T: 690 us
A:   0.4  41.4 | G:   -0.1   21.7    0.5 | P:  -0.4 -62.6  -1.0 | M: 1038 1162 1162 1038 | V: 11907 | T: 690 us
A:   0.7  39.3 | G:    0.9   25.2    1.8 | P:  -1.4 -62.2  -3.5 | M: 1036 1166 1158 1040 | V: 11911 | T: 689 us
A:   0.5  36.9 | G:    1.3   28.7    2.3 | P:  -1.4 -61.5  -4.6 | M: 1036 1166 1156 1042 | V: 11911 | T: 690 us
A:   0.5  34.3 | G:    0.5   31.5    1.7 | P:  -0.9 -60.1  -3.4 | M: 1037 1163 1157 1043 | V: 11907 | T: 690 us
A:   0.4  30.9 | G:    0.2   30.6    1.5 | P:  -0.6 -55.4  -3.0 | M: 1042 1158 1152 1048 | V: 11907 | T: 690 us
A:   0.2  27.4 | G:   -0.8   28.4   -0.4 | P:   0.2 -50.0   0.8 | M: 1051 1149 1149 1051 | V: 11911 | T: 690 us
A:   0.3  24.0 | G:   -0.4   27.1   -0.3 | P:  -0.1 -45.1   0.6 | M: 1055 1145 1145 1055 | V: 11911 | T: 689 us
A:   0.3  20.7 | G:   -0.7   24.2   -0.3 | P:   0.1 -39.3   0.6 | M: 1061 1139 1139 1061 | V: 11907 | T: 690 us
A:   0.2  17.8 | G:   -1.0   22.0   -0.7 | P:   0.4 -34.6   1.5 | M: 1067 1133 1135 1065 | V: 11911 | T: 689 us
A:   0.2  15.5 | G:   -0.6   25.4   -1.3 | P:   0.2 -33.9   2.6 | M: 1069 1131 1135 1065 | V: 11907 | T: 689 us
A:   0.2  12.9 | G:   -0.6   26.0   -0.5 | P:   0.1 -31.1   1.0 | M: 1069 1131 1131 1069 | V: 11911 | T: 689 us
A:   0.2   9.4 | G:   -0.4   19.3   -0.3 | P:   0.1 -22.9   0.5 | M: 1078 1122 1122 1078 | V: 11907 | T: 689 us
A:   0.1   6.8 | G:   -0.8   15.7   -0.1 | P:   0.3 -17.6   0.1 | M: 1083 1117 1117 1083 | V: 11911 | T: 689 us
A:   0.1   4.4 | G:   -0.3    8.7    0.2 | P:   0.0 -10.5  -0.5 | M: 1090 1110 1110 1090 | V: 11907 | T: 689 us
A:  -0.0   2.9 | G:   -0.8    7.5   -0.3 | P:   0.5  -8.0   0.6 | M: 1092 1108 1108 1092 | V: 11911 | T: 689 us
